"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000267731.1",20.0021841127245,-2.27394658514479,0.612111283130814,-3.71492349154889,0.000203265185687418,0.0228920096160805
"ENSG00000268027.5",65.9238018746451,-2.58095632941598,0.764059917364801,-3.37795017217702,0.000730283120863408,0.0443165063857846
"ENSG00000268316.1",3.08586659041196,-1.6680357689528,0.501020644733315,-3.32927552284929,0.000870722216065537,0.0488734445107057
"ENSG00000268849.5",4.22505429145902,-2.17463966677308,0.58154228752678,-3.73943514240645,0.000184434225150196,0.0217560837917475
"ENSG00000269220.1",28.9834628201316,-2.51890768197049,0.607755561376243,-4.14460655245425,3.40397651073378e-05,0.0089573678047357
"ENSG00000269345.1",3.40359069700121,-2.04788569206756,0.609067307785309,-3.36233067493654,0.000772875099207991,0.0454866082581185
"ENSG00000269800.1",8.08085988383565,-1.92827549697116,0.544879932127595,-3.53889982595213,0.000401798295731753,0.0331205239737677
"ENSG00000270164.1",74.8903606351887,-2.12087455000104,0.580032802178866,-3.65647346500762,0.00025570886722791,0.026014812525748
"ENSG00000270379.6",5.66767930634155,-2.37028937061912,0.681609653006737,-3.47748797301099,0.000506135756766603,0.0373353564836432
"ENSG00000272789.1",25.7060272632913,-2.58999921170394,0.644057438289906,-4.02137923999586,5.78583674828666e-05,0.011816492111221
"ENSG00000272980.4",3.40359960238127,-2.17720700133701,0.592667971449488,-3.67356953002237,0.000239185553198255,0.0252570470249991
"ENSG00000273062.1",16.8431878603242,-1.5729941567612,0.451856000868233,-3.48118461133353,0.000499201294040847,0.0369233562540969
"ENSG00000273203.1",8.23814687010552,-2.03252814466567,0.601005757389365,-3.38187799314023,0.000719921115005143,0.0440762441931672
"ENSG00000273837.1",31.2794590358643,-2.90435450967941,0.84735808076876,-3.42754093646508,0.000609074464661612,0.0403607465327886
"ENSG00000274272.1",21.8993842661507,-1.76109403268381,0.523182896320636,-3.36611545421109,0.00076234793230462,0.0451583893146765
"ENSG00000276231.5",154.180947619968,-1.47071332400927,0.434191033692183,-3.3872494130128,0.000705971763123224,0.0436124813575469
"ENSG00000276409.5",22.5960313722243,-2.91357706611569,0.81707298276867,-3.56587125943507,0.000362649375291185,0.0312095140050121
"ENSG00000276842.1",15.0892422727079,-2.2179209689499,0.633411461239333,-3.50154852678276,0.000462562725108357,0.0355588598259562
"ENSG00000279166.1",3.11459032245396,-2.72844275985227,0.524826603417794,-5.19875086758943,2.00632213819437e-07,0.000343168862224783
"ENSG00000279277.2",33.2054753347819,-2.06431312574604,0.497538466349543,-4.14905231527519,3.33854514504988e-05,0.00887048203733786
"ENSG00000281103.2",81.9014539071746,-2.61243430640294,0.575361736852047,-4.54050754347386,5.61189708596044e-06,0.00317762236671559
"ENSG00000283265.1",20.3965569497667,-2.42416911367626,0.598044981936139,-4.05348959843813,5.04592444859472e-05,0.0113957394941779
"ENSG00000283307.1",3.16073876253146,-4.43815913235372,0.985634851748621,-4.50284314163603,6.70503723667938e-06,0.00339808803807786
"ENSG00000283787.2",99.8389570322186,-2.38208237478439,0.650642530337366,-3.66112306484061,0.000251112097283336,0.0257544687657241
"ENSG00000286196.1",5.84446623574576,-2.47815765536514,0.643677159435052,-3.85000091900137,0.000118117381647316,0.0173791310943124
"ENSG00000286406.1",2.84422211699056,-2.77282890083379,0.752808195321554,-3.68331391457476,0.000230221361632632,0.0247999370544299
"ENSG00000287255.1",19.6719105165707,-1.4565430018493,0.438198265863274,-3.32393602466645,0.000887565543368894,0.0493699313523913
"ENSG00000288052.1",2.18939707056469,-2.05462927730961,0.574465755985559,-3.57659139104761,0.000348103651538957,0.0306320020310824
